Key,CITY,COUNTY,STATE,ZIP,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10
Key76,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,458,469,495,516
Key77,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,578,603,655,609
Key81,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,614,630,630,654
Key85,PLEASANTON,ALAMEDA,CA,94588,356,601,629,438,454,794,808,878,937,989
Key86,SACRAMENTO,SACRAMENTO,CA,95814,96.6,405,490,28,95,588,591,669,753,696
Key88,FRESNO,FRESNO,CA,93720,96.6,258.2,385.85,160.83,164.52,402,410,515,637,543
Key89,PLEASANTON,ALAMEDA,CA,94588,96.6,258.2,559,160.83,164.52,817,819,909,1046,997
Key91,SANTA ROSA,SONOMA,CA,95401,146,350,481,259,241,655,615,955,971,809
Key92,FAIRFIELD,SOLANO,CA,94534,339,461,569,385,388,682,682,719,784,787
Key94,FRESNO,FRESNO,CA,93720,96.6,375,599,160.83,164.52,712,716,782,856,855
Key105,HUNTINGTON PARK,LOS ANGELES,CA,90255,96.6,266,454,102,199,622,682,801,819,833
Key107,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,584,598,655,609
Key132,TEMECULA,RIVERSIDE,CA,92591,21,258.2,385.85,90,90,331,335,360,485,560
Key149,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,396,524,578,610,607
Key150,FORT IRWIN,SAN BERNARDINO,CA,92310,276,405,406,276,336,364,610,654,696,662
Key161,SAN DIEGO,SAN DIEGO,CA,92154,31,167,232,168,49,415,448,573,577,584
Key162,SAN DIEGO,SAN DIEGO,CA,92154,31,183,252,175,70,407,423,491,512,507
Key164,COMMERCE,LOS ANGELES,CA,90040,240,466,569,223,358,610,679,840,865,994
Key165,PASADENA,LOS ANGELES,CA,91101,240,283,513,223,496,792,808,935,1187,949
Key167,LOS ANGELES,LOS ANGELES,CA,90006,140,424,557,210,297,802,806,893,987,1087
Key168,LAGUNA NIGUEL,ORANGE,CA,92677,240,465,703,336,343,828,844,970,1092,983
Key169,FULLERTON,ORANGE,CA,92833,240,373,569,294,295,743,779,879,893,924
